"                      LISTA DE PRECIOS - G3 ELECTRÓNICA - ""ACTUALIZACIÓN AUTOMATICA""                                                                                                          ",,,,,,
PRODUCTOS,DOLAR,Column 4,Columna 2,PESOS,,
Categoria, ,Producto,,Precio Pesos G3,Fecha de Precios:,"10 ago 2026, 9:24:49"
Xiaomi,🛠️,KIT DE LLAVES DE PRECISION XIAOMI,,$36.000,,
Xiaomi,📱,Pencil Xiaomi Smart Pen BHR9413CN,,$139.000,,
Xiaomi,📱,XIAOMI 15T NFC DUAL SIM DE 512GB 12GB RAM de 6.83. Leica 50+50+12MP 32MP,,$1.111.000,,
Xiaomi,📱,XIAOMI 15T PRO NFC DUAL SIM 5G - 12GB/1TB de 6.83. Leica 50+50+12MP 32MP,,$1.530.000, ,
Xiaomi,📱,XIAOMI 15T PRO NFC DUAL SIM 5G - 12GB/512GB DE 6.83. Leica 50+50+12MP 32MP,,$1.327.000,,
Xiaomi,📱,XIAOMI POCO C71 4G - 3/64GB,,$190.000,,
Xiaomi,📱,XIAOMI POCO C71 4G - 4/128GB,,$226.000,,
Xiaomi,📱,XIAOMI POCO C81 PRO 4G - 4/128GB,,$236.000,,
Xiaomi,📱,XIAOMI POCO C85 4G - 6/128GB,,$248.000,,
Xiaomi,📱,XIAOMI POCO C85 4G - 8/256GB,,$258.000,,
Xiaomi,📱,XIAOMI POCO F6 PRO 5G - 12/512GB,,$641.000,,
Xiaomi,📱,XIAOMI POCO F7 5G - 12/256GB,,$754.000,,
Xiaomi,📱,XIAOMI POCO F7 5G - 12/512GB,,$822.000,,
Xiaomi,📱,XIAOMI POCO F8 PRO 5G - 12/256GB,,$986.000,,
Xiaomi,📱,XIAOMI POCO F8 PRO 5G - 12/512GB,,$1.018.000,,
Xiaomi,📱,XIAOMI POCO M7 PRO 5G - 12/512GB,,$522.000,,
Xiaomi,📱,XIAOMI POCO M8 5G - 8/256GB DUAL SIM GLOBAL,,$426.000,,
Xiaomi,📱,XIAOMI POCO M8 5G - 8/512GB DUAL SIM GLOBAL,,$477.000,,
Xiaomi,📱,XIAOMI POCO M8 PRO 5G - 12/512GB NFC DUAL SIM,,$616.000,,
Xiaomi,📱,XIAOMI POCO M8 PRO 5G - 8/256GB NFC DUAL SIM,,$496.000,,
Xiaomi,📱,XIAOMI POCO X7 5G - 8/256GB,,$477.000,,
Xiaomi,📱,XIAOMI POCO X7 PRO 5G - 8/256GB,,$577.000,,
Xiaomi,📱,XIAOMI POCO X7 PRO 5G - 12/256GB,,$583.000,,
Xiaomi,📱,XIAOMI POCO X7 PRO 5G - 12/512GB,,$661.000,,
Xiaomi,📱,XIAOMI POCO X7 PRO 5G - 12/512GB - EDICION IRON MAN,,$812.000,,
Xiaomi,📱,XIAOMI POCO X8 PRO 5G - 12GB/512GB NFC DUAL SIM - 6.59 PULGADAS,,$751.000,,
Xiaomi,📱,XIAOMI POCO X8 PRO 5G - 8/256GB NFC DUAL SIM - 6.59 PULGADAS,,$673.000,,
Xiaomi,📱,XIAOMI POCO X8 PRO MAX 5G - 12/512GB NFC DUAL SIM - 6.83 PULGADAS,,$960.000,,
Xiaomi,📱,XIAOMI POCO X8 PRO MAX 5G - 12GB/256GB NFC DUAL SIM - 6.83 PULGADAS,,$867.000,,
Xiaomi,📱,XIAOMI REDMI 15 4G - 6/128GB,,$290.000,,
Xiaomi,📱,XIAOMI REDMI 15 4G - 8/256GB,,$335.000,,
Xiaomi,📱,XIAOMI REDMI 15C 4G - 4/128GB,,$248.000,,
Xiaomi,📱,XIAOMI REDMI 15C 4G - 8/256GB,,$258.000,,
Xiaomi,📱,XIAOMI REDMI 17 4G 4/128 GB,,$323.000,,
Xiaomi,📱,XIAOMI REDMI 17 4G 4/256 GB,,$358.000,,
Xiaomi,📱,XIAOMI REDMI 17 4G 6/256 GB,,$406.000,,
Xiaomi,📱,XIAOMI REDMI A5 4G - 3/64GB,,$187.000,,
Xiaomi,📱,XIAOMI REDMI A5 4G - 4/128GB,,$232.000,,
Xiaomi,📱,XIAOMI REDMI A7 PRO 4G - 4/128GB,,$236.000,,
Xiaomi,📱,XIAOMI REDMI A7 PRO 4G - 4/64GB,,$223.000,,
Xiaomi,📱,XIAOMI REDMI NOTE 14 4G - 8/256GB,,$345.000,,
Xiaomi,📱,XIAOMI REDMI NOTE 14 5G - 8/256GB,,$368.000,,
Xiaomi,📱,XIAOMI REDMI NOTE 14 PRO 5G - 12/512GB,,$583.000,,
Xiaomi,📱,XIAOMI REDMI NOTE 14 PRO 5G - 8/256 GB,,$490.000,,
Xiaomi,📱,XIAOMI REDMI NOTE 14 PRO PLUS 5G - 12/256 GB,,$593.000,,
Xiaomi,📱,XIAOMI REDMI NOTE 14 PRO PLUS 5G - 12/512GB,,$683.000,,
Xiaomi,📱,XIAOMI REDMI NOTE 14 PRO PLUS 5G - 8/256GB,,$580.000,,
Xiaomi,📱,XIAOMI REDMI NOTE 15 4G 6 / 128 gb,,$339.000,,
Xiaomi,📱,XIAOMI REDMI NOTE 15 4G 8 / 256 gb,,$384.000,,
Xiaomi,📱,XIAOMI REDMI NOTE 15 5G 8 / 256 gb,,$480.000,,
Xiaomi,📱,XIAOMI REDMI NOTE 15 PRO 4G - 12 / 512 GB,,$567.000,,
Xiaomi,📱,XIAOMI REDMI NOTE 15 PRO 4G - 8 / 256 GB,,$506.000,,
Xiaomi,📱,XIAOMI REDMI NOTE 15 PRO 5G - 12/512GB,,$664.000,,
Xiaomi,📱,XIAOMI REDMI NOTE 15 PRO 5G - 8/256GB,,$583.000,,
Xiaomi,📱,XIAOMI REDMI NOTE 15 PRO PLUS 5G - 12 / 512 GB,,$744.000,,
Xiaomi,📱,XIAOMI REDMI NOTE 15 PRO PLUS 5G - 8 / 256 GB,,$651.000,,
Xiaomi,🔊,XIAOMI SOUND OUTDOOR AZUL,,$84.000,,
Xiaomi,🔊,XIAOMI SOUND OUTDOOR DORADO,,$84.000,,
Xiaomi,🔊,XIAOMI SOUND OUTDOOR NEGRO,,$84.000,,
Xiaomi,🔊,XIAOMI SOUND OUTDOOR ROJO,,$84.000,,
Xiaomi,🔊,XIAOMI SOUND OUTDOOR VERDE,,$87.000,,
